"filename", "language", "TypeScript", "JSON", "JavaScript", "Markdown", "YAML", "Log", "Shell Script", "JSON with Comments", "MS SQL", "Ignore", "TypeScript JSX", "PostCSS", "Skill", "Python", "Docker", "HTML", "comment", "blank", "total"
"d:\Websites\nextblock-sandbox\.agent\skills\editor-development\SKILL.md", "Skill", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 13, 39
"d:\Websites\nextblock-sandbox\.agent\skills\frontend-design\SKILL.md", "Skill", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 181, 0, 0, 0, 0, 92, 273
"d:\Websites\nextblock-sandbox\.agent\skills\nextjs-best-practices\SKILL.md", "Skill", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 145, 0, 0, 0, 0, 59, 204
"d:\Websites\nextblock-sandbox\.agent\skills\nextjs-supabase-auth\SKILL.md", "Skill", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 21, 57
"d:\Websites\nextblock-sandbox\.agent\skills\notebooklm\AUTHENTICATION.md", "Markdown", 0, 0, 0, 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 155
"d:\Websites\nextblock-sandbox\.agent\skills\notebooklm\CHANGELOG.md", "Markdown", 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 45
"d:\Websites\nextblock-sandbox\.agent\skills\notebooklm\README.md", "Markdown", 0, 0, 0, 285, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 128, 413
"d:\Websites\nextblock-sandbox\.agent\skills\notebooklm\SKILL.md", "Skill", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 209, 0, 0, 0, 0, 61, 270
"d:\Websites\nextblock-sandbox\.agent\skills\notebooklm\references\api_reference.md", "Markdown", 0, 0, 0, 235, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 74, 309
"d:\Websites\nextblock-sandbox\.agent\skills\notebooklm\references\troubleshooting.md", "Markdown", 0, 0, 0, 293, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 83, 376
"d:\Websites\nextblock-sandbox\.agent\skills\notebooklm\references\usage_patterns.md", "Markdown", 0, 0, 0, 264, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 74, 338
"d:\Websites\nextblock-sandbox\.agent\skills\notebooklm\scripts\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 19, 15, 81
"d:\Websites\nextblock-sandbox\.agent\skills\notebooklm\scripts\ask_question.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 168, 0, 0, 43, 46, 257
"d:\Websites\nextblock-sandbox\.agent\skills\notebooklm\scripts\auth_manager.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 206, 0, 0, 85, 67, 358
"d:\Websites\nextblock-sandbox\.agent\skills\notebooklm\scripts\browser_session.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 145, 0, 0, 60, 50, 255
"d:\Websites\nextblock-sandbox\.agent\skills\notebooklm\scripts\browser_utils.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 67, 0, 0, 22, 19, 108
"d:\Websites\nextblock-sandbox\.agent\skills\notebooklm\scripts\cleanup_manager.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 209, 0, 0, 52, 41, 302
"d:\Websites\nextblock-sandbox\.agent\skills\notebooklm\scripts\config.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 8, 8, 45
"d:\Websites\nextblock-sandbox\.agent\skills\notebooklm\scripts\notebook_manager.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 252, 0, 0, 96, 62, 410
"d:\Websites\nextblock-sandbox\.agent\skills\notebooklm\scripts\run.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 0, 0, 17, 23, 102
"d:\Websites\nextblock-sandbox\.agent\skills\notebooklm\scripts\setup_environment.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 142, 0, 0, 28, 34, 204
"d:\Websites\nextblock-sandbox\.agent\skills\nx-operations\SKILL.md", "Skill", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 13, 37
"d:\Websites\nextblock-sandbox\.agent\skills\project-architecture\SKILL.md", "Skill", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 18, 59
"d:\Websites\nextblock-sandbox\.agent\skills\react-best-practices\AGENTS.md", "Markdown", 0, 0, 0, 1649, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 601, 2250
"d:\Websites\nextblock-sandbox\.agent\skills\react-best-practices\README.md", "Markdown", 0, 0, 0, 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 124
"d:\Websites\nextblock-sandbox\.agent\skills\react-best-practices\SKILL.md", "Skill", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 92, 0, 0, 0, 0, 30, 122
"d:\Websites\nextblock-sandbox\.agent\skills\react-best-practices\metadata.json", "JSON", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16
"d:\Websites\nextblock-sandbox\.agent\skills\react-best-practices\rules\_sections.md", "Markdown", 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 47
"d:\Websites\nextblock-sandbox\.agent\skills\react-best-practices\rules\_template.md", "Markdown", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 29
"d:\Websites\nextblock-sandbox\.agent\skills\react-best-practices\rules\advanced-event-handler-refs.md", "Markdown", 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 56
"d:\Websites\nextblock-sandbox\.agent\skills\react-best-practices\rules\advanced-use-latest.md", "Markdown", 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 50
"d:\Websites\nextblock-sandbox\.agent\skills\react-best-practices\rules\async-api-routes.md", "Markdown", 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 39
"d:\Websites\nextblock-sandbox\.agent\skills\react-best-practices\rules\async-defer-await.md", "Markdown", 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 81
"d:\Websites\nextblock-sandbox\.agent\skills\react-best-practices\rules\async-dependencies.md", "Markdown", 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 37
"d:\Websites\nextblock-sandbox\.agent\skills\react-best-practices\rules\async-parallel.md", "Markdown", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 29
"d:\Websites\nextblock-sandbox\.agent\skills\react-best-practices\rules\async-suspense-boundaries.md", "Markdown", 0, 0, 0, 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 100
"d:\Websites\nextblock-sandbox\.agent\skills\react-best-practices\rules\bundle-barrel-imports.md", "Markdown", 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 60
"d:\Websites\nextblock-sandbox\.agent\skills\react-best-practices\rules\bundle-conditional.md", "Markdown", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 32
"d:\Websites\nextblock-sandbox\.agent\skills\react-best-practices\rules\bundle-defer-third-party.md", "Markdown", 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 50
"d:\Websites\nextblock-sandbox\.agent\skills\react-best-practices\rules\bundle-dynamic-imports.md", "Markdown", 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 36
"d:\Websites\nextblock-sandbox\.agent\skills\react-best-practices\rules\bundle-preload.md", "Markdown", 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 51
"d:\Websites\nextblock-sandbox\.agent\skills\react-best-practices\rules\client-event-listeners.md", "Markdown", 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 75
"d:\Websites\nextblock-sandbox\.agent\skills\react-best-practices\rules\client-swr-dedup.md", "Markdown", 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 57
"d:\Websites\nextblock-sandbox\.agent\skills\react-best-practices\rules\js-batch-dom-css.md", "Markdown", 0, 0, 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 83
"d:\Websites\nextblock-sandbox\.agent\skills\react-best-practices\rules\js-cache-function-results.md", "Markdown", 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 81
"d:\Websites\nextblock-sandbox\.agent\skills\react-best-practices\rules\js-cache-property-access.md", "Markdown", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 29
"d:\Websites\nextblock-sandbox\.agent\skills\react-best-practices\rules\js-cache-storage.md", "Markdown", 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 71
"d:\Websites\nextblock-sandbox\.agent\skills\react-best-practices\rules\js-combine-iterations.md", "Markdown", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 33
"d:\Websites\nextblock-sandbox\.agent\skills\react-best-practices\rules\js-early-exit.md", "Markdown", 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 51
"d:\Websites\nextblock-sandbox\.agent\skills\react-best-practices\rules\js-hoist-regexp.md", "Markdown", 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 46
"d:\Websites\nextblock-sandbox\.agent\skills\react-best-practices\rules\js-index-maps.md", "Markdown", 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 38
"d:\Websites\nextblock-sandbox\.agent\skills\react-best-practices\rules\js-length-check-first.md", "Markdown", 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 50
"d:\Websites\nextblock-sandbox\.agent\skills\react-best-practices\rules\js-min-max-loop.md", "Markdown", 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 83
"d:\Websites\nextblock-sandbox\.agent\skills\react-best-practices\rules\js-set-map-lookups.md", "Markdown", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 25
"d:\Websites\nextblock-sandbox\.agent\skills\react-best-practices\rules\js-tosorted-immutable.md", "Markdown", 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 58
"d:\Websites\nextblock-sandbox\.agent\skills\react-best-practices\rules\rendering-activity.md", "Markdown", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 27
"d:\Websites\nextblock-sandbox\.agent\skills\react-best-practices\rules\rendering-animate-svg-wrapper.md", "Markdown", 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 48
"d:\Websites\nextblock-sandbox\.agent\skills\react-best-practices\rules\rendering-conditional-render.md", "Markdown", 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 41
"d:\Websites\nextblock-sandbox\.agent\skills\react-best-practices\rules\rendering-content-visibility.md", "Markdown", 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 39
"d:\Websites\nextblock-sandbox\.agent\skills\react-best-practices\rules\rendering-hoist-jsx.md", "Markdown", 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 47
"d:\Websites\nextblock-sandbox\.agent\skills\react-best-practices\rules\rendering-hydration-no-flicker.md", "Markdown", 0, 0, 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 83
"d:\Websites\nextblock-sandbox\.agent\skills\react-best-practices\rules\rendering-svg-precision.md", "Markdown", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 29
"d:\Websites\nextblock-sandbox\.agent\skills\react-best-practices\rules\rerender-defer-reads.md", "Markdown", 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 40
"d:\Websites\nextblock-sandbox\.agent\skills\react-best-practices\rules\rerender-dependencies.md", "Markdown", 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 46
"d:\Websites\nextblock-sandbox\.agent\skills\react-best-practices\rules\rerender-derived-state.md", "Markdown", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 30
"d:\Websites\nextblock-sandbox\.agent\skills\react-best-practices\rules\rerender-functional-setstate.md", "Markdown", 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 75
"d:\Websites\nextblock-sandbox\.agent\skills\react-best-practices\rules\rerender-lazy-state-init.md", "Markdown", 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 59
"d:\Websites\nextblock-sandbox\.agent\skills\react-best-practices\rules\rerender-memo.md", "Markdown", 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 45
"d:\Websites\nextblock-sandbox\.agent\skills\react-best-practices\rules\rerender-transitions.md", "Markdown", 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 41
"d:\Websites\nextblock-sandbox\.agent\skills\react-best-practices\rules\server-after-nonblocking.md", "Markdown", 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 74
"d:\Websites\nextblock-sandbox\.agent\skills\react-best-practices\rules\server-cache-lru.md", "Markdown", 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 42
"d:\Websites\nextblock-sandbox\.agent\skills\react-best-practices\rules\server-cache-react.md", "Markdown", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 27
"d:\Websites\nextblock-sandbox\.agent\skills\react-best-practices\rules\server-parallel-fetching.md", "Markdown", 0, 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 80
"d:\Websites\nextblock-sandbox\.agent\skills\react-best-practices\rules\server-serialization.md", "Markdown", 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 39
"d:\Websites\nextblock-sandbox\.agent\skills\typescript-expert\SKILL.md", "Skill", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 352, 0, 0, 0, 0, 78, 430
"d:\Websites\nextblock-sandbox\.agent\skills\typescript-expert\references\tsconfig-strict.json", "JSON", 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 92
"d:\Websites\nextblock-sandbox\.agent\skills\typescript-expert\references\typescript-cheatsheet.md", "Markdown", 0, 0, 0, 299, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 85, 384
"d:\Websites\nextblock-sandbox\.agent\skills\typescript-expert\references\utility-types.ts", "TypeScript", 125, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 156, 55, 336
"d:\Websites\nextblock-sandbox\.agent\skills\typescript-expert\scripts\ts_diagnostic.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 149, 0, 0, 17, 38, 204
"d:\Websites\nextblock-sandbox\.dockerignore", "Ignore", 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 3, 3, 31
"d:\Websites\nextblock-sandbox\.prettierignore", "Ignore", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 0, 6
"d:\Websites\nextblock-sandbox\.prettierrc", "JSON", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\Websites\nextblock-sandbox\.verdaccio\config.yml", "YAML", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 29
"d:\Websites\nextblock-sandbox\AGENTS.md", "Markdown", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 26
"d:\Websites\nextblock-sandbox\CLAUDE.md", "Markdown", 0, 0, 0, 103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 129
"d:\Websites\nextblock-sandbox\Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 68, 0, 32, 11, 111
"d:\Websites\nextblock-sandbox\LICENSE.md", "Markdown", 0, 0, 0, 142, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 113, 255
"d:\Websites\nextblock-sandbox\README.md", "Markdown", 0, 0, 0, 139, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 194
"d:\Websites\nextblock-sandbox\apps\create-nextblock\bin\create-nextblock.js", "JavaScript", 0, 0, 1811, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 91, 244, 2146
"d:\Websites\nextblock-sandbox\apps\create-nextblock\docker-template\.dockerignore", "Ignore", 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 3, 3, 24
"d:\Websites\nextblock-sandbox\apps\create-nextblock\docker-template\Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 0, 23, 9, 86
"d:\Websites\nextblock-sandbox\apps\create-nextblock\docker-template\docker-compose.yml", "YAML", 0, 0, 0, 0, 200, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 10, 220
"d:\Websites\nextblock-sandbox\apps\create-nextblock\docker-template\docker\db\init\99-jwt.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 2, 7
"d:\Websites\nextblock-sandbox\apps\create-nextblock\docker-template\docker\db\init\99-roles.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 5, 2, 26
"d:\Websites\nextblock-sandbox\apps\create-nextblock\docker-template\docker\kong\kong.yml", "YAML", 0, 0, 0, 0, 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 7, 113
"d:\Websites\nextblock-sandbox\apps\create-nextblock\docker-template\docker\migrate\run-migrations.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 8, 52
"d:\Websites\nextblock-sandbox\apps\create-nextblock\docker-template\scripts\docker-setup.mjs", "JavaScript", 0, 0, 175, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 24, 217
"d:\Websites\nextblock-sandbox\apps\create-nextblock\libs\db\tsconfig.lib.json", "JSON", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\Websites\nextblock-sandbox\apps\create-nextblock\libs\editor\tsconfig.lib.json", "JSON", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\Websites\nextblock-sandbox\apps\create-nextblock\libs\sdk\tsconfig.lib.json", "JSON", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\Websites\nextblock-sandbox\apps\create-nextblock\libs\ui\tsconfig.lib.json", "JSON", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\Websites\nextblock-sandbox\apps\create-nextblock\libs\utils\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\Websites\nextblock-sandbox\apps\create-nextblock\package-lock.json", "JSON", 0, 1310, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1311
"d:\Websites\nextblock-sandbox\apps\create-nextblock\package.json", "JSON", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 27
"d:\Websites\nextblock-sandbox\apps\create-nextblock\project.json", "JSON", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20
"d:\Websites\nextblock-sandbox\apps\create-nextblock\scripts\sync-template.js", "JavaScript", 0, 0, 412, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 61, 477
"d:\Websites\nextblock-sandbox\apps\create-nextblock\templates\nextblock-template\.dockerignore", "Ignore", 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 3, 3, 24
"d:\Websites\nextblock-sandbox\apps\create-nextblock\templates\nextblock-template\Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 0, 23, 9, 86
"d:\Websites\nextblock-sandbox\apps\create-nextblock\templates\nextblock-template\README.md", "Markdown", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 35
"d:\Websites\nextblock-sandbox\apps\create-nextblock\templates\nextblock-template\app\(auth-pages)\forgot-password\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 5, 58
"d:\Websites\nextblock-sandbox\apps\create-nextblock\templates\nextblock-template\app\(auth-pages)\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 1, 10
"d:\Websites\nextblock-sandbox\apps\create-nextblock\templates\nextblock-template\app\(auth-pages)\post-sign-in\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 5, 28
"d:\Websites\nextblock-sandbox\apps\create-nextblock\templates\nextblock-template\app\(auth-pages)\sign-in\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 86, 0, 0, 0, 0, 0, 0, 10, 96
"d:\Websites\nextblock-sandbox\apps\create-nextblock\templates\nextblock-template\app\(auth-pages)\sign-up\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 117, 0, 0, 0, 0, 0, 0, 12, 129
"d:\Websites\nextblock-sandbox\apps\create-nextblock\templates\nextblock-template\app\(auth-pages)\two-factor\actions.ts", "TypeScript", 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16, 92
"d:\Websites\nextblock-sandbox\apps\create-nextblock\templates\nextblock-template\app\(auth-pages)\two-factor\components\TwoFactorForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 107, 0, 0, 0, 0, 0, 1, 11, 119
"d:\Websites\nextblock-sandbox\apps\create-nextblock\templates\nextblock-template\app\(auth-pages)\two-factor\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 1, 8, 52
"d:\Websites\nextblock-sandbox\apps\create-nextblock\templates\nextblock-template\app\.well-known\ucp\route.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17
